frame_nr;sampler_time;layer_id;layer_size;encoding_time;encoded_size;send_timestamp;full_size
445;7;1;563025;6;76804;1696323339732;0
445;7;2;337830;6;49000;1696323339732;0
450;6;0;1322865;18;160848;1696323339862;0
450;6;1;551205;7;74487;1696323339862;0
450;6;2;330750;6;47794;1696323339862;0
455;8;0;1299135;15;164095;1696323340032;0
455;8;1;541305;5;75477;1696323340032;0
455;8;2;324825;5;48475;1696323340032;0
460;7;0;1050270;13;147249;1696323340135;0
460;7;1;437610;5;67731;1696323340135;0
460;7;2;262605;2;43574;1696323340135;0
465;5;0;1000005;13;162983;1696323340247;0
465;5;1;416670;6;75171;1696323340247;0
465;5;2;250035;3;47952;1696323340247;0
470;5;0;1002105;17;162779;1696323340348;0
470;5;1;417555;5;75469;1696323340348;0
470;5;2;250560;4;48073;1696323340348;0
475;2;0;964995;11;161728;1696323340498;0
475;2;1;402090;4;75158;1696323340498;0
475;2;2;241275;4;47858;1696323340498;0
480;4;0;960465;13;162323;1696323340609;0
480;4;1;400200;8;75212;1696323340609;0
480;4;2;240150;2;47654;1696323340609;0
485;5;0;962505;12;163694;1696323340718;0
485;5;1;401055;6;75347;1696323340718;0
485;5;2;240660;2;47648;1696323340718;0
490;5;0;963405;11;162644;1696323340826;0
490;5;1;401430;4;75484;1696323340826;0
490;5;2;240885;4;48110;1696323340826;0
495;3;0;966780;13;163274;1696323340934;0
495;3;1;402825;6;75556;1696323340934;0
495;3;2;241740;5;47925;1696323340934;0
500;2;0;964320;12;163190;1696323341043;0
500;2;1;401805;5;75433;1696323341043;0
500;2;2;241110;5;47722;1696323341043;0
505;4;0;966210;12;163456;1696323341139;0
505;4;1;402585;5;75793;1696323341139;0
505;4;2;241590;5;47975;1696323341139;0
510;5;0;966585;13;163061;1696323341244;0
510;5;1;402750;4;75871;1696323341244;0
510;5;2;241665;3;47779;1696323341244;0
515;4;0;963630;11;163674;1696323341338;0
515;4;1;401520;4;75998;1696323341338;0
515;4;2;240930;4;48221;1696323341338;0
520;4;0;967020;14;164028;1696323341448;0
520;4;1;402930;5;75695;1696323341448;0
520;4;2;241785;3;48222;1696323341448;0
525;2;0;985215;16;166534;1696323341573;0
525;2;1;410505;5;76483;1696323341573;0
525;2;2;246330;3;48953;1696323341573;0
530;4;0;1155135;18;190909;1696323341700;0
530;4;1;481305;6;88606;1696323341700;0
530;4;2;288825;3;56429;1696323341700;0
535;9;0;1127055;24;192230;1696323341870;0
535;9;1;469605;9;89318;1696323341870;0
535;9;2;281790;7;57192;1696323341870;0
540;3;0;1126290;23;192544;1696323342045;0
540;3;1;469290;13;89272;1696323342045;0
540;3;2;281610;8;57022;1696323342045;0
545;6;0;1142130;22;194278;1696323342256;0
545;6;1;475890;13;90239;1696323342256;0
545;6;2;285555;4;56936;1696323342256;0
550;6;0;1133640;16;191073;1696323342412;0
550;6;1;472350;10;89249;1696323342412;0
550;6;2;283455;3;56384;1696323342412;0
555;7;0;1126245;14;190549;1696323342525;0
555;7;1;469275;6;87735;1696323342525;0
555;7;2;281580;5;55926;1696323342525;0
560;5;0;1111305;14;189535;1696323342648;0
560;5;1;463050;5;87956;1696323342648;0
560;5;2;277845;5;55558;1696323342648;0
565;7;0;1147050;16;190457;1696323342753;0
565;7;1;477945;6;88127;1696323342753;0
565;7;2;286785;3;55807;1696323342753;0
570;5;0;1116810;13;170507;1696323342849;0
570;5;1;465345;7;79924;1696323342849;0
570;5;2;279240;3;50935;1696323342849;0
575;3;0;1002195;14;160612;1696323342951;0
575;3;1;417585;8;75017;1696323342951;0
575;3;2;250575;5;47424;1696323342951;0
580;2;0;989220;13;158168;1696323343058;0
580;2;1;412185;5;73807;1696323343058;0
580;2;2;247335;5;46913;1696323343058;0
585;6;0;984420;14;158938;1696323343166;0
585;6;1;410175;5;74206;1696323343166;0
585;6;2;246150;5;46681;1696323343166;0
590;5;0;1032210;17;170208;1696323343288;0
590;5;1;430095;6;78472;1696323343288;0
590;5;2;258075;3;50483;1696323343288;0
595;6;0;1072380;16;178622;1696323343396;0
595;6;1;446820;6;82818;1696323343396;0
595;6;2;268125;6;52788;1696323343396;0
600;5;0;1069965;17;180980;1696323343519;0
600;5;1;445815;6;84007;1696323343519;0
600;5;2;267525;3;53482;1696323343519;0
605;6;0;1049415;15;177490;1696323343671;0
605;6;1;437265;7;82463;1696323343671;0
605;6;2;262380;3;52275;1696323343671;0
610;2;0;1043010;17;176611;1696323343847;0
610;2;1;434595;6;81804;1696323343847;0
610;2;2;260790;3;51914;1696323343847;0
615;2;0;1050210;21;179148;1696323344020;0
